Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
持;も(つ), じ;держать;持つ (もつ) — держать;В руке (扌) ДЕРЖАТ подношения храму (寺).
拡;ひろ(がる), かく;расширять;拡大 (かくだい) — увеличение 拡げる (ひろげる) — растягивать руки;РАСШИРЯЮ руки (扌) от конца до конца, чтобы измерить высоту пунктирного обрыва (广) и РАСШИРИТЬ понимание.
払;はら(う), ふつ;платить;払う (はらう) — платить;Люблю ПЛАТИТЬ счета рукой (扌).
打;う(つ), だ;бить;打つ (うつ) — бить 安打 (あんだ) — безопасный хит (бейсбол);Рукой (扌) БИТЬ гвоздь может быть больно.
授;さず(ける), じゅ;вручать, учить;授ける (さずける) — награждать 授業 (じゅぎょう) — урок;Нужна хорошая рука (扌), чтобы ВРУЧАТЬ информацию и УЧИТЬ других навыкам сдачи тестов под крышей за столом.
描;えが(く), か(く), びょう;рисовать;描く (かく) — рисовать 描写 (びょうしゃ) — описание;Умелой рукой (扌) трава была НАРИСОВАНА за полем (田).
走;はし(る), そう;бежать;短距離走 (たんきょりそう) — бег на короткие дистанции 走る (はしる) — бежать;Много земли (土) проносится мимо, когда БЕГУТ.
赴;おもむ(く), ふ;направляться;赴く (おもむく) — направляться 赴任 (ふにん) — переезд на новую работу;Если беспокоишься, НАПРАВИШЬСЯ к гадалке (ト) через землю (土) бегом.
趣;おもむき, しゅ;суть, хобби;趣 (おもむき) — суть 趣味 (しゅみ) — хобби;НАПРАВЛЯЯСЬ к воротам аэропорта через землю (土), иногда бегают, слушают, а если время есть — сидят за столом.
起;お(きる), お(こる), き;просыпаться, происходить;起きる (おきる) — просыпаться;Если бежишь по земле (土) и видишь змею, ПРОСНЁШЬСЯ и будешь внимательнее.
配;くば(る), はい;распределять, супруг(а);心配 (しんぱい) — беспокойство 配る (くばる) — распределять;РАСПРЕДЕЛИ змеиное масло из бутылки между СУПРУГАМИ.
路;じ, みち, ろ;путь, дорога;道路 (どうろ) — дорога 海路 (かいろ) — морской путь;Человек останавливается (止) в конце МАРШРУТА, где стоит стол для пикника, и люди сидят и разговаривают.
元;もと, げん, がん;начало, древняя валюта;元気 (げんき) — здоровый, энергичный 元旦 (がんたん) — Новый год;В НАЧАЛЕ нужно было носить ДРЕВНЮЮ ВАЛЮТУ.
光;ひか(る), こう;свет, луч;光る (ひかる) — сиять 日光 (にっこう) — солнечный свет;ЛУЧИ СВЕТА побуждают к долгим походам на двух ногах.
先;さき, せん;перед, предыдущий;先生 (せんせい) — учитель;Листья того растения в почве (土) проросли как раз ПЕРЕД тем, как ты прошёл.
